STORE_NUM,TYPE,ADDRESS,CITY,POSTCODE,STATE_REGION,STATUS,PHONE,DISTRICT_MANAGER,DM_CONTACT_NUM,HALAL,CAFE,NO_OF_DRIVETHRU,DTD,SET_UP_PRICE
5700,FSDT-Single,108 Emu Bank Road,Belconnen,2617,ACT,Trading,+61 2 6251 2877,Mohammed Khan,0433 026 260,0,1,1,1DT,36.05
5703,Co-Brand-Single,Cnr Newcastle & Wollongong Sts,Fyshwick,2608,ACT,Trading,+61 2 6280 0319,Mohammed Khan,0433 026 260,0,1,1,1DT,36.05
5704,FSDT-Single,7 Atkinson Street,Queanbeyan,2620,ACT,Trading,+61 2 6297 4511,Mohammed Khan,0433 026 260,0,1,1,1DTD,36.05
5706,Co-Brand-Single,Cnr Gundaroo Dr and Gibberson St,Gungahlin,2912,ACT,Trading,+61 2 6242 4491,Mohammed Khan,0433 026 260,0,1,1,1DT,36.05
5707,FSDT-Single,Cnr Drakeford and Athlon Drive Kambah ACT ,Kambah,2902,ACT,Trading,+61 2 6169 4741,Mohammed Khan,0433 026 260,0,1,1,1DTDD,36.05
8414,,421 Townsend Street,Albury,2640,NSW,,,,,0,0,1,1DTD,36.05
3426,FSDT-Single,115-117 Dumaresq Street,Armidale,2350,NSW,Trading,+61 2 6771 2933,Nicole Gilmore,0421 232 536,0,0,1,1DT,36.05
3444,FSDT-Single,542-554 Parramatta Rd,Ashfield,2131,NSW,Trading,+61 2 9797 0345,Ahmed Kawas,0428 883 473,0,1,1,1DT,36.05
8422,DT-Single,289 Parramatta Road ,Auburn,2144,NSW,Trading,+61 2 9648 6540,Jodie Townley,0402 982 081,1,0,1,1DT,36.05
3491,FSDT-Single,"Shop 27, 173-185 Canterbury Rd",Bankstown,2200,NSW,Trading,+61 2 9793 2374,Sean Pimenta,0410 717 544,1,0,1,1DT,36.05
3443,FSDT-Single,Cnr Milperra Rd & Henry Lawson Dve,Bankstown (Milperra) (10 panel),2214,NSW,Trading,+61 2 9790 6712,Sean Pimenta,0410 717 544,0,0,1,1DT,36.05
8420,DT-Single,739 Hume Highway,Bass Hill,2197,NSW,Trading,+61 2 9724 1109,Jodie Townley,0402 982 081,1,0,1,1DT,36.05
3420,FSDT-Single,54 Durham Street,Bathurst,2798,NSW,Trading,+61 2 6331 8279,David Wells,0436 415 028,0,0,1,1DT,36.05
3458,FSDT-Single,397 Pacific Hwy,Belmont NSW (10 panel),2280,NSW,Trading,+61 2 4947 7798,Jillian Wilson,0401 294 773,0,0,1,1DT,36.05
3486,Co-Brand-Single,"Lot 201, John Renshaw Drive, Cnr Kinta Drive",Beresfield,2322,NSW,Trading,+61 2 4964 4501,Jillian Wilson,0401 294 773,0,1,1,1DT,36.05
3479,Inline,"Shop 3024, Level 3 F/C, Westpoint S/C 17 Patrick St",Blacktown,2148,NSW,Temp Closure,+61 2 9621 3445,David Wells,0436 415 028,0,0,0,0DT,36.05
9403,Inline,"Shop 5, 152-162 Campbell Parade",Bondi Beach,2026,NSW,Trading,+61 2 9130 8787,Jodie Townley,0402 982 081,0,0,0,0DT,36.05
3488,FSDT-Single,68-82 Lambton Road,Broadmeadow,2292,NSW,Trading,+61 2 4962 1614,Jillian Wilson,0401 294 773,0,1,1,1DT,36.05
3475,Inline,162 Burwood Road,Burwood NSW,2134,NSW,Trading,+61 2 9715 1666,Ahmed Kawas,0428 883 473,0,0,0,0DT,36.05
3468,FSDT-Single,Cnr Cabramatta Road & Cumberland Way,Cabramatta,2166,NSW,Trading,+61 2 9821 4792,Ahmed Kawas,0428 883 473,0,0,2,2DTDD,36.05
3446,FSDT-Single,"Marketfair  S/C, Cnr Narellan & Tindall Roads ",Campbelltown,2560,NSW,Trading,+61 2 4628 8450,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3497,Co-Brand-Single,629-631 Hume Hwy Casula NSW ,Casula,2170,NSW,Trading,+61 2 9600 9316,Sean Pimenta,0410 717 544,1,0,1,1DTD,36.05
3492,Inline,"Shop E1, Pod 4, Alfred St",Circular Quay,2000,NSW,Trading,+61 2 9211 5100,Bijen Batajoo,0403 240 642,0,0,0,0DTD,36.05
3415,FSDT-Single,Corner Pacific Highway & Bray St,Coffs Harbour,2450,NSW,Trading,+61 2 6651 1645,Nicole Gilmore,0421 232 536,0,0,1,1DT,36.05
3405,Inline,49 Oxford Street,Darlinghurst _Closed till 13th oct,2010,NSW,Trading,+61 2 9264 6905,Bijen Batajoo,0403 240 642,0,0,0,0DT,36.05
3309,Inline,"Shop 9, Henry Deane Plaza, Haymarket Sydney",Devonshire St Walkway,2000,NSW,trading,,Bijen Batajoo,0403 240 642,0,1,0,0DTD,36.05
3410,FSDT-Single,69-73 Cobra St,Dubbo,2830,NSW,Trading,+61 2 68843388,David Wells,0436 415 028,0,1,2,2DTDD,36.05
8470,FSDT-Single,236 New Line Road,Dural,2158,NSW,Trading,+61 2 9651 4963,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
3304,Co-Brand-Single,Cnr of Camden Valley Way and Ardennes Avenue,Edmondson Park,2174,NSW,Trading,+61 2 8729 8375,Sean Pimenta,0410 717 544,1,0,2,2DTD,36.05
3490,,1260 Princes Hwy,Engadine,2233,NSW,,,,,0,1,,1DTD,36.05
3436,FSDT-Single,Princess Hwy & Mt Ousley Rd ,Fairy Meadow,2519,NSW,Trading,+61 2 4225 7684,Nitin Mittal,0433 636 924,0,1,1,1DT,36.05
3437,FSDT-Single,41-45 Princess Highway,Figtree,2525,NSW,Trading,+61 2 4228 4100,Nitin Mittal,0433 636 924,0,1,1,1DT,36.05
3315,FSDT-Single,"Pad Site 5, Stockland Bulky Goods Centre Cnr The Lakes Way and Angel Close",Forster,2428,NSW,Trading,,Nicole Gilmore,0421 232 536,0,1,1,1DTDD,36.05
3448,FSDT-Single,"389 Lake Road, Stockland Super Market",Glendale,2285,NSW,Trading,+61 2 4954 2964,Jillian Wilson,0401 294 773,0,1,1,1DTDD,36.05
3465,Co-Brand-Single,Cnr Richmond Road &  Stone Street,Glendenning,2761,NSW,Trading,+61 2 9832 2459,David Wells,0436 415 028,0,0,1,1DT,36.05
3417,FSDT-Single,57 Pacific Highway,Gosford West ,2250,NSW,Trading,+61 2 4322 0111,Bijen Batajoo,0403 240 642,0,0,1,1DT,36.05
3498,FSDT-Dual,"434 Auburn Street, Goulburn NSW ",Goulburn,2580,NSW,Trading,+61 2 4816 1778,Mohammed Khan,0433 026 260,0,0,2,2DTD,36.05
3481,FSDT-Single,27 Pacific Highway,Grafton,2350,NSW,Trading,+61 2 6642 2915,Nicole Gilmore,0421 232 536,0,0,1,1DT,36.05
3447,FSDT-Single,Corner Louis St and Woodville Rd,Granville - (10 panel),2142,NSW,Trading,+61 2 9897 9261,Sean Pimenta,0410 717 544,1,0,1,1DT,36.05
3440,Co-Brand-Single,Cnr Cowpasture & Green Valley Roads ,Green Valley,2168,NSW,Trading,+61 2 9826 9527,Ahmed Kawas,0428 883 473,0,0,1,1DT,36.05
3441,Co-Brand-Single,9-11 Roberts Rd East,Greenacre,2190,NSW,Trading,+61 2 9742 1311,Sean Pimenta,0410 717 544,1,0,1,1DT,36.05
8467,DT-Single,49 Jondaryan Road,Griffith,2680,NSW,Trading,+61 2 6962 7418,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
8440,Co-Brand,Cnr Mount & Middle Streets,Gundagai,2722,NSW,Trading,+61 2 6944 3422,Jodie Townley,0402 982 081,0,0,0,0DT,36.05
3487,FSDT-Dual,10 Macquarie Place,Haywards Bay,2530,NSW,Trading,+61 2 4256 2451,Nitin Mittal,0433 636 924,0,1,2,2DT,36.05
3466,FSDT-Single,Hoxton Park Road & Cowpasture Road,Hoxton Park,2171,NSW,Trading,+61 2 9608 5493,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3496,Co-Brand-Single,"89 Williamson Road, Ingleburn",Ingleburn,2565,NSW,Trading,+61 2 9618 0909,Nitin Mittal,0433 636 924,0,0,1,1DTDD,36.05
3469,FSDT-Single,11 Blue Gum Road,Jesmond,2299,NSW,Trading,+61 2 4951 7391,Jillian Wilson,0401 294 773,0,1,1,1DT,36.05
3311,Inline,"7 / 111 Darlinghurst Road, Potts Point",Kings Cross,2011,NSW,Trading,,Bijen Batajoo,0403 240 642,0,1,0,0DTD,36.05
3450,FSDT-Single,Cnr Parker & Copeland Streets,Kingswood,2747,NSW,Trading,+61 2 4721 3206,David Wells,0436 415 028,0,0,1,1DT,36.05
3306,FSDT-Single,"Lake Haven Business Park, Bannister Drive",Lake Haven,2263,NSW,Trading,  61 2 4307 1643?,Bijen Batajoo,0403 240 642,0,1,2,2DTD,36.05
3424,FSDT-Single,101 Hollylea Road,Leumeah,2560,NSW,Trading,+61 2 4627 0699,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3303,FSDT,"2 Stewart Street, Bowenfels",Lithgow,2790,NSW,Trading,,David Wells,0436 415 028,0,0,1,1DTDD,36.05
3406,FSDT-Single,Corner New England Hwy & Johnson St.,Maitland,2320,NSW,Trading,+61 2 4932 5627,Jillian Wilson,0401 294 773,0,1,2,2DTDD,36.05
3403,Co-Brand-Single,"BP Service Centre (Northbound), Hume Hwy.",Marulan Northbound,2579,NSW,Trading,+61 2 4816 9713,Mohammed Khan,0433 026 260,0,0,1,1DTD,36.05
3404,Co-Brand-Single,"BP Service Centre (Southbound), Hume Hwy.",Marulan Southbound,2579,NSW,Trading,+61 2 4841 1933,Mohammed Khan,0433 026 260,0,0,1,1DTD,36.05
3428,FSDT-Single,Corner John Hine Drive & Gt Western Hwy,Minchinbury,2770,NSW,Trading,+61 2 9677 9200,David Wells,0436 415 028,0,0,1,1DT,36.05
3449,FSDT-Single,Cnr Brookfield Rd & Pembroke Rd,Minto,2566,NSW,Trading,+61 2 9824 5277,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3419,FSDT-Single,88 Mona Vale Rd,Mona Vale,2103,NSW,Trading,+61 2 9999 6299,Bijen Batajoo,0403 240 642,0,0,1,1DTD,36.05
3414,FSDT-Single,15-17  Main St,Mt. Annan,2567,NSW,Trading,+61 2 4647 8905,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3485,FSDT-Single,113 Bridge Street,Muswellbrook,2333,NSW,Trading,+61 2 6541 5920,Jillian Wilson,0401 294 773,0,0,1,1DT,36.05
3411,Co-Brand-Single,Cnr Camden Valley Way & Grahams Hill Rd ,Narellan,2567,NSW,Trading,+61 2 4647 6143,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3451,FSDT-Single,2 Windsor Rd,North Parramatta,2151,NSW,Trading,+61 2 9683 4176,Ahmed Kawas,0428 883 473,0,0,1,1DT,36.05
3484,Inline,67-69 Mount Street,North Sydney,2060,NSW,Trading,+ 61 2 84567115,Bijen Batajoo,0403 240 642,0,0,0,0DT,36.05
3421,FSDT-Single,10-20 Bathurst Road,Orange,2800,NSW,Trading,+61 2 6361 3333,David Wells,0436 415 028,0,0,1,1DT,36.05
8428,DT-Single,1190 Old Windsor Road,Parklea,2278,NSW,Trading,+61 2 8824 4177,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
3462,Inline,"Shop 5058B, Food Court Westfield Parramatta ",Parramatta (Westfield's),2150,NSW,Trading,+61 2 9635 1730,Ahmed Kawas,0428 883 473,0,0,0,0DT,36.05
3435,FSDT-Single,"Corner Blaiki Street & Mulgoa Road, Jamisontown",Penrith,2750,NSW,Trading,+61 2 4733 4681,David Wells,0436 415 028,0,0,1,1DT,36.05
3301,Inline,Cnr Pitt & Park Street Sydney NSW 2000,Pitt & Park St,2000,NSW,Trading,+61 2 8252 6538,Bijen Batajoo,0403 240 642,0,0,0,0DTD,36.05
3493,FSDT-Single,"112 Gordon Street, ?PORT MACQUARIE NSW ",Port Macquarie,2444,NSW,Trading,+61 2 6583 3544,Nicole Gilmore,0421 232 536,0,0,1,1DTD,36.05
3459,FSDT-Single,Cnr Masonite Rd & Pacific Hwy,Raymond Terrace (10 panel),2324,NSW,Trading,+61 2 4983 1182,Jillian Wilson,0401 294 773,0,1,1,1DT,36.05
8472,FSDT-Single,3/1 Resolution Place ,Rouse Hill (2 sets wide),2155,NSW,Trading,+61 2 8814 6599,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
3431,Inline,Cnr Waterloo & Herring Roads ,Ryde,2112,NSW,Trading,+61 2 9878 0837,Bijen Batajoo,0403 240 642,0,0,0,0DT,36.05
8425,DT-Single,396-412 Princes Highway,Saint Peters,2044,NSW,Trading,+61 2 9557 4833,Jodie Townley,0402 982 081,1,0,1,1DT,36.05
8417,DT-Single,"40 Abbott Road,",Seven Hill,2147,NSW,Trading,+61 2 9838 0841,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
3433,FSDT-Single,1 Range Road,Shellharbour,2529,NSW,Trading,+61 2 4297 2799,Nitin Mittal,0433 636 924,0,1,1,1DT,36.05
3489,FSDT-Dual,212 Maitland Road,Singleton,2330,NSW,Trading,+61 2 6572 4269,Jillian Wilson,0401 294 773,0,1,2,2DT,36.05
3439,FSDT,Cnr Cumberland Hwy & Robert St,Smithfield NSW (10 panel),2164,NSW,Trading,+61 2 9609 6352,Sean Pimenta,0410 717 544,0,0,1,1DT,36.05
3499,Co-Brand-Single,399 Pacific Highway South Coffs Harbour NSW ,South Coffs Harbour,2450,NSW,Trading,61 2564 56147,Nicole Gilmore,0421 232 536,0,0,1,1DTD,36.05
3494,FSDT-Single,190 Princes Highway SOUTH NOWRA,South Nowra,2541,NSW,Trading,+61 475 412 488,Nitin Mittal,0433 636 924,0,1,2,2DTD,36.05
8444,DT-Single,115-117 Mamre Road,St Marys,2760,NSW,Trading,+61 2 9673 0500,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
3457,Inline,"505 George St, Sydney",Sydney (505 George St),2000,NSW,Trading,+61 2 9624 0590,Bijen Batajoo,0403 240 642,0,0,0,0DTD,36.05
9400,Inline,"Shop 8, Qantas Domestic Terminal",Sydney (domestic) temp closed,2020,NSW,Temp Closure,+61 2 9700 7690,Jodie Townley,0402 982 081,0,0,0,0DT,36.05
8448,Inline,Sydney International Terminal,Sydney (Int Airport),2020,NSW,Temp Closure,+61 2 9693 2543,Jodie Townley,0402 982 081,0,0,0,0DTD,36.05
3463,FSDT-Single,163 Port Hacking Road,Sylvania (10 panel),2224,NSW,Trading,+61 2 9544 6368,Nitin Mittal,0433 636 924,0,0,1,1DT,36.05
3473,FSDT-Single,561 Peel Street,Tamworth (10 panel),2340,NSW,Trading,+61 2 6766 3553,Nicole Gilmore,0421 232 536,0,0,1,1DT,36.05
3427,FSDT-Single,Corner Manning and Wynter Street,Taree,2430,NSW,Trading,+61 2 6551 8808,Nicole Gilmore,0421 232 536,0,0,1,1DT,36.05
3471,FSDT-Single,Lot 6 Anzac Road,Tuggerah,2259,NSW,Trading,+61 2 4353 9955,Bijen Batajoo,0403 240 642,0,0,1,1DT,36.05
3495,FSDT-Single,"Mingara Recreation Complex, Wyomg Road + Mingara Drive",Tumbi Umbi,2261,NSW,Trading,+61 2 4312 6755,Bijen Batajoo,0403 240 642,0,1,1,1DTD,36.05
3573,FSDT-Single,"Shop 52, Whitsunday S/C, 226 Shute Harbour Rd",Airlie Beach,4802,QLD North,Trading,+61 7 4946 0249,Brad Tobin,0404 085 419,0,0,,1DT,26.48
3453,FSDT-Single,Cnr Woodville Road and Fairfield St,Villawood (Guildford),2161,NSW,Trading,+61 2 9755 9318,Ahmed Kawas,0428 883 473,1,0,1,1DT,36.05
8408,DT-Single,Lot 3 Hammond Avenue,Wagga Wagga,2650,NSW,Trading,+61 2 69217944,Jodie Townley,0402 982 081,0,1,1,1DT,36.05
3422,FSDT-Single,Corner Hume Hwy & Sappho Road,Warwick Farm,2170,NSW,Trading,+61 2 9824 0450,Sean Pimenta,0410 717 544,1,0,1,1DT,36.05
3442,Co-Brand,867 South Dowling Street,Waterloo (Moore Park),2021,NSW,Trading,+61 2 9663 5758,Bijen Batajoo,0403 240 642,0,0,0,0DT,36.05
8471,DT-Single,343-347 Great Western Hwy ,Wentworthville,2145,NSW,Trading,+61 2 9636 9042,Jodie Townley,0402 982 081,0,0,1,1DT,36.05
3461,FSDT-Single,24-42 King Georges Road,Wiley Park (10 panel),2195,NSW,Trading,+61 2 9758 9454,Sean Pimenta,0410 717 544,1,0,1,1DT,36.05
